SpeciesID,ID on Phylo,ShellHeight,ShellWidth
AL_N_sp1,AL_N_sp1_IS00_0113,9.03,5.67
AL_N_sp2,AL_N_sp2_IS01_0911,8.97,5.67
AL_N_sp3,AL_N_sp3_AL04_01_1,12.09,7.00
CA_N_trogonius,CA_N_trogonius_CA16_07_2,7.01,3.00
DA_N_elaeodes,DA_N_elaeodes_DA02_0211,10.01,5.43
ES_N_hoodensis,ES_N_hoodensis_ES17_03_2,18.00,8.50
ES_N_snodgrassi,ES_N_snodgrassi_ES02_0311,18.62,10.23
FA_N_perrus_sp1,FA_N_perrus_FA02_0411,11.43,6.22
FA_N_perrus_sp2,FA_N_perrus_FA02_0512,11.63,6.31
FL_N_nux,FL_N_nux_FL01_0111,16.77,9.72
FL_N_unifasciatus,FL_N_unifasciatus_FL01_0211,16.93,10.00
FL_N_ustulatus,FL_N_ustulatus_FL14_172_1,12.61,7.09
GD_N_rugulosus,GD_N_rugulosus_GD14_01_1,20.50,8.00
PI_N_nov_sp,PI_N_nov_sp_PI02_05,11.52,6.21
PI_N_pinzonensis,PI_N_pinzonensis_PI02_2,14.19,7.88
PI_N_prepinguis,PI_N_prepinguis_PI02_1,15.85,9.50
RA_N_rabidensis,RA_N_rabidensis_RA14_021,15.50,7.00
SA_N_darwini,SA_N_darwini_SA01_0811,14.44,8.65
SA_N_indefatigabilis,SA_N_indefatigabilis_SA01_0321,12.93,3.75
SA_N_jacobi,SA_N_jacobi_SA01_1421,10.48,5.51
SA_N_nesioticus,SA_N_nesioticus_SA01_0421,9.89,4.32
SA_N_olla,SA_N_olla_SA01_0315,11.89,6.65
SA_N_sculpturatus,SA_N_sculpturatus_SA01_1411,13.44,6.54
SC_N_akamatus,SC_N_akamatus_SC01_0511,15.37,9.50
SC_N_blombergi,SC_N_blombergi_GC9_1,21.13,12.10
SC_N_cavagnaroi,SC_N_cavagnaroi_GC6_2,22.70,13.90
SC_N_cf_reibischi,SC_N_cf_reibischi_SC14_141_5,11.76,4.87
SC_N_eos,SC_N_eos_SC14_131,15.45,8.39
SC_N_hirsutus,SC_N_hirsutus_SC02_T0111,10.97,5.33
SC_N_nesioticus,SC_N_nesioticus_SC01_0531,10.43,4.98
SC_N_ochsneri,SC_N_ochsneri_SC02_T1311,13.97,8.58
SC_N_reibischi,SC_N_reibischi_SC02_371_2,13.43,4.52
SC_N_smallblack,SC_N_smallblack_15_09_2,13.21,5.98
SC_N_tanneri,SC_N_tanneri_SC15_011,13.00,5.55
SC_N_wolfi,SC_N_wolfi_SC02_T0611,14.50,9.00
SL_N_achatellinus,SL_N_achatellinus_SL17_09_2,15.83,8.43
SL_N_amastroides,SL_N_amastroides_SL01_031_2,9.00,4.50
SL_N_basiplicatus,SL_N_basiplicatus_SL01_1013,18.36,10.16
SL_N_bauri,SL_N_bauri_SL17_05_1,12.85,7.35
SL_N_canaliferus,SL_N_canaliferus_SL01_0911,10.00,4.25
SL_N_eschariferus,SL_N_eschariferus_SL01_0411,14.01,7.21
SL_N_smallperspectivus,SL_N_smallperspectivus_SL17_06_1,18.01,8.48
SN_N_albermarlensis,SN_N_albermarlensis_SN05_021,15.00,9.00
SN_N_simrothi,SN_N_simrothi_IS01_0111,12.03,5.81
SN_N_sp1,SN_N_sp1_IS01_0611,11.23,5.20
SN_N_tortuganus,SN_N_tortuganus_IS01_0711,11.72,5.32
WF_N_elaeodes,WF_N_elaeodes_WF04_1,13.50,7.00